,Bedrooms,Bathrooms,Furnishing,Tennants,Area,Price,Locality
0,3,3,Unfurnished,Bachelors,2051,"75,000", Hitech City
1,3,3,Semi-Furnished,Family,2035,"50,000"," Financial District, Nanakram Guda"
2,3,3,Unfurnished,Family,2220,"25,000", K P H B Phase 6
3,4,5,Semi-Furnished,Bachelors,5500,2 Lac, Jubilee Hills
4,4,4,Semi-Furnished,Bachelors,3380,"60,000"," Narsingi, Outer Ring Road"
5,3,3,Semi-Furnished,Family,1755,"25,000", Puppalaguda
6,3,3,Semi-Furnished,Bachelors,1800,"26,000"," Narsingi, Outer Ring Road"
7,3,3,Semi-Furnished,Family,2850,"45,000", Puppalaguda
8,2,2,Unfurnished,Bachelors/Family,800,"14,000", Medipally
9,2,2,Semi-Furnished,Bachelors,850,"18,000"," Malakpet, NH 9"
10,3,3,Semi-Furnished,Family,1254,"35,000"," Narsingi, Outer Ring Road"
11,4,3,Furnished,Bachelors/Family,3000,"40,000"," KPHB Colony, Hyderabad"
12,3,2,Furnished,Bachelors/Family,1450,"17,142", Bachupally
13,3,3,Semi-Furnished,Bachelors/Family,1700,"35,000"," Khaja Guda, Outer Ring Road"
14,3,3,Semi-Furnished,Bachelors/Family,2100,"60,000"," Kokapet, Outer Ring Road"
15,3,2,Unfurnished,Bachelors/Family,1200,"22,000"," Chandanagar, NH 9"
16,3,2,Unfurnished,Bachelors/Family,NaN,"15,000"," Shastripuram, Nawab Saheb Kunta, NH 7"
17,1,1,Semi-Furnished,Bachelors/Family,450,"14,000"," Banjara Hills, road No 14"
18,1,1,Semi-Furnished,Bachelors/Family,200,"5,500"," Hyder Nagar, Hyderabad"
19,3,2,Unfurnished,Bachelors,1550,"29,000"," LB Nagar, NH 9"
20,2,2,Semi-Furnished,Bachelors/Family,1100,"8,000", sham sha bad
21,2,2,Unfurnished,Bachelors/Family,950,"9,000"," Ramachandra Puram, NH 9"
22,3,3,Semi-Furnished,Family,2500,"55,000"," Punjagutta, NH 9"
23,3,3,Semi-Furnished,Family,2540,"55,000"," Narsingi, Outer Ring Road"
24,3,3,Semi-Furnished,Bachelors/Family,2300,"30,000"," Champapet, Koti"
25,2,2,Unfurnished,Bachelors/Family,1100,"20,500", Ram nagar
26,2,3,Semi-Furnished,Bachelors,1200,"14,000"," Saroornagar, NH 9"
27,3,3,Unfurnished,Bachelors,1700,"25,000", Amberpet
28,3,3,Furnished,Bachelors/Family,1600,"42,000", Madhapur
29,4,4,Semi-Furnished,Family,3300,1 Lac," Vittal Rao Nagar, Hitech City"
